element_type,osm_id,name_pre,distance_m_pre,cde_category_pre,cde_label_pre,tags_pre,name_current,distance_m_current,cde_category_current,cde_label_current,tags_current,in_prestrike,in_current,status
node,3678209524,,406.1,unknown,Unknown / unclassified,,,406.1,unknown,Unknown / unclassified,,True,True,present_both
node,3678209533,,379.2,unknown,Unknown / unclassified,,,379.2,unknown,Unknown / unclassified,,True,True,present_both
node,3858435060,,388.6,unknown,Unknown / unclassified,,,388.6,unknown,Unknown / unclassified,,True,True,present_both
node,3858435061,,214.1,unknown,Unknown / unclassified,,,214.1,unknown,Unknown / unclassified,,True,True,present_both
node,5667438512,,215.1,unknown,Unknown / unclassified,,,215.1,unknown,Unknown / unclassified,,True,True,present_both
node,5667438516,,220.9,unknown,Unknown / unclassified,,,220.9,unknown,Unknown / unclassified,,True,True,present_both
node,5667441638,,257.7,unknown,Unknown / unclassified,,,257.7,unknown,Unknown / unclassified,,True,True,present_both
node,5667441643,,283.1,unknown,Unknown / unclassified,,,283.1,unknown,Unknown / unclassified,,True,True,present_both
node,5667441660,,231.9,unknown,Unknown / unclassified,,,231.9,unknown,Unknown / unclassified,,True,True,present_both
node,5667441670,,227.4,unknown,Unknown / unclassified,,,227.4,unknown,Unknown / unclassified,,True,True,present_both
node,5667441720,,245.4,unknown,Unknown / unclassified,,,245.4,unknown,Unknown / unclassified,,True,True,present_both
node,5667451015,,304.3,unknown,Unknown / unclassified,,,300.9,unknown,Unknown / unclassified,,True,True,present_both
node,5667451017,,325.8,unknown,Unknown / unclassified,,,322.5,unknown,Unknown / unclassified,,True,True,present_both
node,5667451019,,445.3,unknown,Unknown / unclassified,,,445.3,unknown,Unknown / unclassified,,True,True,present_both
node,5667451621,,464.7,unknown,Unknown / unclassified,,,451.7,unknown,Unknown / unclassified,,True,True,present_both
node,5667451624,,374.2,unknown,Unknown / unclassified,,,371.2,unknown,Unknown / unclassified,,True,True,present_both
node,5667451625,,288.5,unknown,Unknown / unclassified,,,288.5,unknown,Unknown / unclassified,,True,True,present_both
node,5667451626,,420.8,unknown,Unknown / unclassified,,,420.8,unknown,Unknown / unclassified,,True,True,present_both
node,5667451627,,306.2,unknown,Unknown / unclassified,,,306.2,unknown,Unknown / unclassified,,True,True,present_both
node,5667451628,,283.3,unknown,Unknown / unclassified,,,288.6,unknown,Unknown / unclassified,,True,True,present_both
node,5667451629,,410.1,unknown,Unknown / unclassified,,,411.1,unknown,Unknown / unclassified,,True,True,present_both
node,5667451631,,493.0,unknown,Unknown / unclassified,,,484.2,unknown,Unknown / unclassified,,True,True,present_both
node,5667451633,,378.2,unknown,Unknown / unclassified,,,378.2,unknown,Unknown / unclassified,,True,True,present_both
node,5667451634,,315.6,unknown,Unknown / unclassified,,,315.6,unknown,Unknown / unclassified,,True,True,present_both
node,5667451635,,363.3,unknown,Unknown / unclassified,,,359.7,unknown,Unknown / unclassified,,True,True,present_both
node,5667451639,,400.3,unknown,Unknown / unclassified,,,400.3,unknown,Unknown / unclassified,,True,True,present_both
node,5667451640,,490.1,unknown,Unknown / unclassified,,,490.1,unknown,Unknown / unclassified,,True,True,present_both
node,5667451650,,357.1,unknown,Unknown / unclassified,,,357.1,unknown,Unknown / unclassified,,True,True,present_both
node,5667451654,,343.8,unknown,Unknown / unclassified,,,335.1,unknown,Unknown / unclassified,,True,True,present_both
node,5667451656,,414.6,unknown,Unknown / unclassified,,,414.6,unknown,Unknown / unclassified,,True,True,present_both
node,5667451657,,342.7,unknown,Unknown / unclassified,,,342.7,unknown,Unknown / unclassified,,True,True,present_both
node,5667451658,,403.1,unknown,Unknown / unclassified,,,396.5,unknown,Unknown / unclassified,,True,True,present_both
node,5667451662,,307.8,unknown,Unknown / unclassified,,,307.8,unknown,Unknown / unclassified,,True,True,present_both
node,5667451663,,361.4,unknown,Unknown / unclassified,,,361.1,unknown,Unknown / unclassified,,True,True,present_both
node,5667451664,,356.6,unknown,Unknown / unclassified,,,356.6,unknown,Unknown / unclassified,,True,True,present_both
node,5667451666,,336.2,unknown,Unknown / unclassified,,,335.2,unknown,Unknown / unclassified,,True,True,present_both
node,5667451667,,311.3,unknown,Unknown / unclassified,,,309.9,unknown,Unknown / unclassified,,True,True,present_both
node,5667451669,,239.9,unknown,Unknown / unclassified,,,234.6,unknown,Unknown / unclassified,,True,True,present_both
node,5667451671,,470.6,unknown,Unknown / unclassified,,,470.6,unknown,Unknown / unclassified,,True,True,present_both
node,5667451676,,259.7,unknown,Unknown / unclassified,,,254.9,unknown,Unknown / unclassified,,True,True,present_both
node,5667451679,,417.2,unknown,Unknown / unclassified,,,420.8,unknown,Unknown / unclassified,,True,True,present_both
node,5667461122,,416.0,unknown,Unknown / unclassified,,,416.0,unknown,Unknown / unclassified,,True,True,present_both
node,5667461129,,439.6,unknown,Unknown / unclassified,,,439.6,unknown,Unknown / unclassified,,True,True,present_both
node,5667461130,,428.5,unknown,Unknown / unclassified,,,428.5,unknown,Unknown / unclassified,,True,True,present_both
node,5667461131,,489.2,unknown,Unknown / unclassified,,,489.2,unknown,Unknown / unclassified,,True,True,present_both
node,5667461134,,254.5,unknown,Unknown / unclassified,,,254.5,unknown,Unknown / unclassified,,True,True,present_both
node,5667461139,,487.5,unknown,Unknown / unclassified,,,487.5,unknown,Unknown / unclassified,,True,True,present_both
node,5667461143,,330.8,unknown,Unknown / unclassified,,,330.8,unknown,Unknown / unclassified,,True,True,present_both
node,5667461145,,417.6,unknown,Unknown / unclassified,,,417.6,unknown,Unknown / unclassified,,True,True,present_both
node,5667461146,,322.7,unknown,Unknown / unclassified,,,322.7,unknown,Unknown / unclassified,,True,True,present_both
node,5667461149,,398.6,unknown,Unknown / unclassified,,,398.6,unknown,Unknown / unclassified,,True,True,present_both
node,5667461151,,500.1,unknown,Unknown / unclassified,,,500.1,unknown,Unknown / unclassified,,True,True,present_both
node,5667461153,,461.1,unknown,Unknown / unclassified,,,461.1,unknown,Unknown / unclassified,,True,True,present_both
node,5667461154,,280.9,unknown,Unknown / unclassified,,,280.9,unknown,Unknown / unclassified,,True,True,present_both
node,5667461155,,477.5,unknown,Unknown / unclassified,,,477.5,unknown,Unknown / unclassified,,True,True,present_both
node,6154875298,,411.1,unknown,Unknown / unclassified,,,411.1,unknown,Unknown / unclassified,,True,True,present_both
node,6154875299,,439.2,unknown,Unknown / unclassified,,,439.2,unknown,Unknown / unclassified,,True,True,present_both
node,6154875300,,479.5,unknown,Unknown / unclassified,,,479.5,unknown,Unknown / unclassified,,True,True,present_both
node,6154875301,,490.0,unknown,Unknown / unclassified,,,490.0,unknown,Unknown / unclassified,,True,True,present_both
node,6154875302,,409.6,unknown,Unknown / unclassified,,,409.6,unknown,Unknown / unclassified,,True,True,present_both
node,6154875303,,334.0,unknown,Unknown / unclassified,,,334.0,unknown,Unknown / unclassified,,True,True,present_both
node,6154875304,,364.4,unknown,Unknown / unclassified,,,364.4,unknown,Unknown / unclassified,,True,True,present_both
node,6154875340,,492.0,unknown,Unknown / unclassified,,,485.6,unknown,Unknown / unclassified,,True,True,present_both
node,6154875343,,447.9,unknown,Unknown / unclassified,,,455.1,unknown,Unknown / unclassified,,True,True,present_both
node,6154875344,,444.6,unknown,Unknown / unclassified,,,448.7,unknown,Unknown / unclassified,,True,True,present_both
node,6154875345,,453.2,unknown,Unknown / unclassified,,,454.8,unknown,Unknown / unclassified,,True,True,present_both
node,6154875346,,462.5,unknown,Unknown / unclassified,,,470.5,unknown,Unknown / unclassified,,True,True,present_both
node,6154875347,,487.7,unknown,Unknown / unclassified,,,487.7,unknown,Unknown / unclassified,,True,True,present_both
node,6427495802,محله پریتقی,473.0,unknown,Unknown / unclassified,name=محله پریتقی; place=suburb,محله پریتقی,473.0,unknown,Unknown / unclassified,name=محله پریتقی; place=suburb,True,True,present_both
node,6669339081,,317.7,unknown,Unknown / unclassified,junction=yes,,317.7,unknown,Unknown / unclassified,junction=yes,True,True,present_both
node,6669339082,,307.3,unknown,Unknown / unclassified,junction=yes,,307.3,unknown,Unknown / unclassified,junction=yes,True,True,present_both
node,6669339083,,236.9,unknown,Unknown / unclassified,,,236.9,unknown,Unknown / unclassified,,True,True,present_both
node,6669339084,,223.0,unknown,Unknown / unclassified,,,223.0,unknown,Unknown / unclassified,,True,True,present_both
node,8198231368,,317.5,unknown,Unknown / unclassified,,,317.5,unknown,Unknown / unclassified,,True,True,present_both
node,8730075910,,252.8,unknown,Unknown / unclassified,,,252.8,unknown,Unknown / unclassified,,True,True,present_both
node,8730075911,,245.3,unknown,Unknown / unclassified,,,245.3,unknown,Unknown / unclassified,,True,True,present_both
node,8730075912,,241.4,unknown,Unknown / unclassified,,,241.4,unknown,Unknown / unclassified,,True,True,present_both
node,8730075913,,241.0,unknown,Unknown / unclassified,,,241.0,unknown,Unknown / unclassified,,True,True,present_both
node,8730075914,,244.4,unknown,Unknown / unclassified,,,244.4,unknown,Unknown / unclassified,,True,True,present_both
node,8730075915,,249.8,unknown,Unknown / unclassified,,,249.8,unknown,Unknown / unclassified,,True,True,present_both
node,8730075916,,255.3,unknown,Unknown / unclassified,,,255.3,unknown,Unknown / unclassified,,True,True,present_both
node,8730076017,,226.5,unknown,Unknown / unclassified,,,226.5,unknown,Unknown / unclassified,,True,True,present_both
node,8730076018,,243.3,unknown,Unknown / unclassified,,,243.3,unknown,Unknown / unclassified,,True,True,present_both
node,8730076021,,254.0,unknown,Unknown / unclassified,,,256.2,unknown,Unknown / unclassified,,True,True,present_both
node,8730076022,,230.8,unknown,Unknown / unclassified,,,239.2,unknown,Unknown / unclassified,,True,True,present_both
node,8730076023,,339.3,unknown,Unknown / unclassified,,,339.3,unknown,Unknown / unclassified,,True,True,present_both
node,8730076024,,345.7,unknown,Unknown / unclassified,,,345.7,unknown,Unknown / unclassified,,True,True,present_both
node,8730076025,,320.4,unknown,Unknown / unclassified,,,320.4,unknown,Unknown / unclassified,,True,True,present_both
node,8730076026,,313.0,unknown,Unknown / unclassified,,,313.0,unknown,Unknown / unclassified,,True,True,present_both
